PopulationGroupTypeID,TripPurposeID,Mode,Intercept,BetaWaitAccessTime,BetaTravelTime,BetaMonetaryCost,BikeShare_Bike,Intercept_Pooled,BetaWaitAccessTime_Pooled,BetaTravelTime_Pooled,BetaMonetaryCost_Pooled,BikeShare_Bike_Pooled,Intercept_Pooled_EW,BetaWaitAccessTime_Pooled_EW,BetaTravelTime_Pooled_EW,BetaMonetaryCost_Pooled_EW,BikeShare_Bike_Pooled_EW,BetaTravelTimeMixed,BetaWaitTime,BetaAccessTime,BetaWaitTime_Pooled,BetaAccessTime_Pooled,BetaWaitTime_Pooled_EW,BetaAccessTime_Pooled_EW
HighIncNoVeh,leisure,ridehail,-5.185,-0.127,-0.067,-0.015,0.0,-5.193,-0.115,-0.052,-0.016,0.0,-5.183,-0.117,-0.052,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
HighIncVeh,leisure,ridehail,-5.185,-0.127,-0.067,-0.015,0.0,-5.193,-0.115,-0.052,-0.016,0.0,-5.183,-0.117,-0.052,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
LowIncNoVeh,leisure,bike,-2.788,-0.091,-0.0395,-0.026,0.019,-2.775,-0.115,-0.08,-0.016,0.02,-2.776,-0.117,-0.081,-0.027,0.02,-0.0395,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
LowIncVeh,leisure,bike,-2.788,-0.091,-0.0395,-0.026,0.019,-2.775,-0.115,-0.08,-0.016,0.02,-2.776,-0.117,-0.081,-0.027,0.02,-0.0395,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
HighIncNoVeh,leisure,bike,-2.788,-0.127,-0.0415,-0.015,0.019,-2.775,-0.115,-0.08,-0.016,0.02,-2.776,-0.117,-0.081,-0.013,0.02,-0.0415,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
HighIncVeh,leisure,bike,-2.788,-0.127,-0.0415,-0.015,0.019,-2.775,-0.115,-0.08,-0.016,0.02,-2.776,-0.117,-0.081,-0.013,0.02,-0.0415,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
LowIncNoVeh,leisure,walk,0.815,-0.091,-0.079,-0.026,0.0,0.814,-0.115,-0.08,-0.016,0.0,0.818,-0.117,-0.081,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
LowIncVeh,leisure,walk,0.815,-0.091,-0.079,-0.026,0.0,0.814,-0.115,-0.08,-0.016,0.0,0.818,-0.117,-0.081,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
HighIncNoVeh,leisure,walk,0.815,-0.127,-0.083,-0.015,0.0,0.814,-0.115,-0.08,-0.016,0.0,0.818,-0.117,-0.081,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
HighIncVeh,leisure,walk,0.815,-0.127,-0.083,-0.015,0.0,0.814,-0.115,-0.08,-0.016,0.0,0.818,-0.117,-0.081,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
LowIncNoVehSenior,leisure,auto,-3.281,-0.091,-0.027,-0.026,0.0,-3.296,-0.115,-0.052,-0.016,0.0,-3.31,-0.117,-0.052,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
LowIncVehSenior,leisure,auto,0.0,-0.091,-0.027,-0.026,0.0,0.0,-0.115,-0.052,-0.016,0.0,0.0,-0.117,-0.052,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
HighIncNoVehSenior,leisure,auto,-3.281,-0.127,-0.067,-0.015,0.0,-3.296,-0.115,-0.052,-0.016,0.0,-3.31,-0.117,-0.052,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
HighIncVehSenior,leisure,auto,0.0,-0.127,-0.067,-0.015,0.0,0.0,-0.115,-0.052,-0.016,0.0,0.0,-0.117,-0.052,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
LowIncNoVehSenior,leisure,bus,-3.067,-0.091,-0.013,-0.026,0.0,-3.036,-0.115,-0.03,-0.016,0.0,-3.003,-0.117,-0.03,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
LowIncVehSenior,leisure,bus,-3.067,-0.091,-0.013,-0.026,0.0,-3.036,-0.115,-0.03,-0.016,0.0,-3.003,-0.117,-0.03,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
HighIncNoVehSenior,leisure,bus,-3.067,-0.127,-0.045,-0.015,0.0,-3.036,-0.115,-0.03,-0.016,0.0,-3.003,-0.117,-0.03,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
HighIncVehSenior,leisure,bus,-3.067,-0.127,-0.045,-0.015,0.0,-3.036,-0.115,-0.03,-0.016,0.0,-3.003,-0.117,-0.03,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
LowIncNoVehSenior,leisure,rail,-3.495,-0.091,-0.013,-0.026,0.0,-3.437,-0.115,-0.03,-0.016,0.0,-3.376,-0.117,-0.03,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
LowIncVehSenior,leisure,rail,-3.495,-0.091,-0.013,-0.026,0.0,-3.437,-0.115,-0.03,-0.016,0.0,-3.376,-0.117,-0.03,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
HighIncNoVehSenior,leisure,rail,-3.495,-0.127,-0.045,-0.015,0.0,-3.437,-0.115,-0.03,-0.016,0.0,-3.376,-0.117,-0.03,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
HighIncVehSenior,leisure,rail,-3.495,-0.127,-0.045,-0.015,0.0,-3.437,-0.115,-0.03,-0.016,0.0,-3.376,-0.117,-0.03,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
LowIncNoVehSenior,leisure,ridehail,-5.185,-0.091,-0.027,-0.026,0.0,-5.193,-0.115,-0.052,-0.016,0.0,-5.183,-0.117,-0.052,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
LowIncVehSenior,leisure,ridehail,-5.185,-0.091,-0.027,-0.026,0.0,-5.193,-0.115,-0.052,-0.016,0.0,-5.183,-0.117,-0.052,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
HighIncNoVehSenior,leisure,ridehail,-5.185,-0.127,-0.067,-0.015,0.0,-5.193,-0.115,-0.052,-0.016,0.0,-5.183,-0.117,-0.052,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
HighIncVehSenior,leisure,ridehail,-5.185,-0.127,-0.067,-0.015,0.0,-5.193,-0.115,-0.052,-0.016,0.0,-5.183,-0.117,-0.052,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
LowIncNoVehSenior,leisure,bike,-2.788,-0.091,-0.0395,-0.026,0.019,-2.775,-0.115,-0.08,-0.016,0.02,-2.776,-0.117,-0.081,-0.027,0.02,-0.0395,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
LowIncVehSenior,leisure,bike,-2.788,-0.091,-0.0395,-0.026,0.019,-2.775,-0.115,-0.08,-0.016,0.02,-2.776,-0.117,-0.081,-0.027,0.02,-0.0395,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
HighIncNoVehSenior,leisure,bike,-2.788,-0.127,-0.0415,-0.015,0.019,-2.775,-0.115,-0.08,-0.016,0.02,-2.776,-0.117,-0.081,-0.013,0.02,-0.0415,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
HighIncVehSenior,leisure,bike,-2.788,-0.127,-0.0415,-0.015,0.019,-2.775,-0.115,-0.08,-0.016,0.02,-2.776,-0.117,-0.081,-0.013,0.02,-0.0415,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
LowIncNoVehSenior,leisure,walk,0.815,-0.091,-0.079,-0.026,0.0,0.814,-0.115,-0.08,-0.016,0.0,0.818,-0.117,-0.081,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
LowIncVehSenior,leisure,walk,0.815,-0.091,-0.079,-0.026,0.0,0.814,-0.115,-0.08,-0.016,0.0,0.818,-0.117,-0.081,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
HighIncNoVehSenior,leisure,walk,0.815,-0.127,-0.083,-0.015,0.0,0.814,-0.115,-0.08,-0.016,0.0,0.818,-0.117,-0.081,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
HighIncVehSenior,leisure,walk,0.815,-0.127,-0.083,-0.015,0.0,0.814,-0.115,-0.08,-0.016,0.0,0.818,-0.117,-0.081,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
LowIncNoVeh,other,auto,-3.281,-0.091,-0.027,-0.026,0.0,-3.296,-0.115,-0.052,-0.016,0.0,-3.31,-0.117,-0.052,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
LowIncVeh,other,auto,0.0,-0.091,-0.027,-0.026,0.0,0.0,-0.115,-0.052,-0.016,0.0,0.0,-0.117,-0.052,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
HighIncNoVeh,other,auto,-3.281,-0.127,-0.067,-0.015,0.0,-3.296,-0.115,-0.052,-0.016,0.0,-3.31,-0.117,-0.052,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
HighIncVeh,other,auto,0.0,-0.127,-0.067,-0.015,0.0,0.0,-0.115,-0.052,-0.016,0.0,0.0,-0.117,-0.052,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
LowIncNoVeh,other,bus,-3.067,-0.091,-0.013,-0.026,0.0,-3.036,-0.115,-0.03,-0.016,0.0,-3.003,-0.117,-0.03,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
LowIncVeh,other,bus,-3.067,-0.091,-0.013,-0.026,0.0,-3.036,-0.115,-0.03,-0.016,0.0,-3.003,-0.117,-0.03,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
HighIncNoVeh,other,bus,-3.067,-0.127,-0.045,-0.015,0.0,-3.036,-0.115,-0.03,-0.016,0.0,-3.003,-0.117,-0.03,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
HighIncVeh,other,bus,-3.067,-0.127,-0.045,-0.015,0.0,-3.036,-0.115,-0.03,-0.016,0.0,-3.003,-0.117,-0.03,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
LowIncNoVeh,other,rail,-3.495,-0.091,-0.013,-0.026,0.0,-3.437,-0.115,-0.03,-0.016,0.0,-3.376,-0.117,-0.03,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
LowIncVeh,other,rail,-3.495,-0.091,-0.013,-0.026,0.0,-3.437,-0.115,-0.03,-0.016,0.0,-3.376,-0.117,-0.03,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
HighIncNoVeh,other,rail,-3.495,-0.127,-0.045,-0.015,0.0,-3.437,-0.115,-0.03,-0.016,0.0,-3.376,-0.117,-0.03,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
HighIncVeh,other,rail,-3.495,-0.127,-0.045,-0.015,0.0,-3.437,-0.115,-0.03,-0.016,0.0,-3.376,-0.117,-0.03,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
LowIncNoVeh,other,ridehail,-5.185,-0.091,-0.027,-0.026,0.0,-5.193,-0.115,-0.052,-0.016,0.0,-5.183,-0.117,-0.052,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
LowIncVeh,other,ridehail,-5.185,-0.091,-0.027,-0.026,0.0,-5.193,-0.115,-0.052,-0.016,0.0,-5.183,-0.117,-0.052,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
HighIncNoVeh,other,ridehail,-5.185,-0.127,-0.067,-0.015,0.0,-5.193,-0.115,-0.052,-0.016,0.0,-5.183,-0.117,-0.052,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
HighIncVeh,other,ridehail,-5.185,-0.127,-0.067,-0.015,0.0,-5.193,-0.115,-0.052,-0.016,0.0,-5.183,-0.117,-0.052,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
LowIncNoVeh,other,bike,-2.788,-0.091,-0.0395,-0.026,0.019,-2.775,-0.115,-0.08,-0.016,0.02,-2.776,-0.117,-0.081,-0.027,0.02,-0.0395,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
LowIncVeh,other,bike,-2.788,-0.091,-0.0395,-0.026,0.019,-2.775,-0.115,-0.08,-0.016,0.02,-2.776,-0.117,-0.081,-0.027,0.02,-0.0395,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
HighIncNoVeh,other,bike,-2.788,-0.127,-0.0415,-0.015,0.019,-2.775,-0.115,-0.08,-0.016,0.02,-2.776,-0.117,-0.081,-0.013,0.02,-0.0415,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
HighIncVeh,other,bike,-2.788,-0.127,-0.0415,-0.015,0.019,-2.775,-0.115,-0.08,-0.016,0.02,-2.776,-0.117,-0.081,-0.013,0.02,-0.0415,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
LowIncNoVeh,other,walk,0.815,-0.091,-0.079,-0.026,0.0,0.814,-0.115,-0.08,-0.016,0.0,0.818,-0.117,-0.081,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
LowIncVeh,other,walk,0.815,-0.091,-0.079,-0.026,0.0,0.814,-0.115,-0.08,-0.016,0.0,0.818,-0.117,-0.081,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
HighIncNoVeh,other,walk,0.815,-0.127,-0.083,-0.015,0.0,0.814,-0.115,-0.08,-0.016,0.0,0.818,-0.117,-0.081,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
HighIncVeh,other,walk,0.815,-0.127,-0.083,-0.015,0.0,0.814,-0.115,-0.08,-0.016,0.0,0.818,-0.117,-0.081,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
LowIncNoVehSenior,other,auto,-3.281,-0.091,-0.027,-0.026,0.0,-3.296,-0.115,-0.052,-0.016,0.0,-3.31,-0.117,-0.052,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
LowIncVehSenior,other,auto,0.0,-0.091,-0.027,-0.026,0.0,0.0,-0.115,-0.052,-0.016,0.0,0.0,-0.117,-0.052,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
HighIncNoVehSenior,other,auto,-3.281,-0.127,-0.067,-0.015,0.0,-3.296,-0.115,-0.052,-0.016,0.0,-3.31,-0.117,-0.052,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
HighIncVehSenior,other,auto,0.0,-0.127,-0.067,-0.015,0.0,0.0,-0.115,-0.052,-0.016,0.0,0.0,-0.117,-0.052,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
LowIncNoVehSenior,other,bus,-3.067,-0.091,-0.013,-0.026,0.0,-3.036,-0.115,-0.03,-0.016,0.0,-3.003,-0.117,-0.03,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
LowIncVehSenior,other,bus,-3.067,-0.091,-0.013,-0.026,0.0,-3.036,-0.115,-0.03,-0.016,0.0,-3.003,-0.117,-0.03,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
HighIncNoVehSenior,other,bus,-3.067,-0.127,-0.045,-0.015,0.0,-3.036,-0.115,-0.03,-0.016,0.0,-3.003,-0.117,-0.03,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
HighIncVehSenior,other,bus,-3.067,-0.127,-0.045,-0.015,0.0,-3.036,-0.115,-0.03,-0.016,0.0,-3.003,-0.117,-0.03,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
LowIncNoVehSenior,other,rail,-3.495,-0.091,-0.013,-0.026,0.0,-3.437,-0.115,-0.03,-0.016,0.0,-3.376,-0.117,-0.03,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
LowIncVehSenior,other,rail,-3.495,-0.091,-0.013,-0.026,0.0,-3.437,-0.115,-0.03,-0.016,0.0,-3.376,-0.117,-0.03,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
HighIncNoVehSenior,other,rail,-3.495,-0.127,-0.045,-0.015,0.0,-3.437,-0.115,-0.03,-0.016,0.0,-3.376,-0.117,-0.03,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
HighIncVehSenior,other,rail,-3.495,-0.127,-0.045,-0.015,0.0,-3.437,-0.115,-0.03,-0.016,0.0,-3.376,-0.117,-0.03,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
LowIncNoVehSenior,other,ridehail,-5.185,-0.091,-0.027,-0.026,0.0,-5.193,-0.115,-0.052,-0.016,0.0,-5.183,-0.117,-0.052,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
LowIncVehSenior,other,ridehail,-5.185,-0.091,-0.027,-0.026,0.0,-5.193,-0.115,-0.052,-0.016,0.0,-5.183,-0.117,-0.052,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
HighIncNoVehSenior,other,ridehail,-5.185,-0.127,-0.067,-0.015,0.0,-5.193,-0.115,-0.052,-0.016,0.0,-5.183,-0.117,-0.052,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
HighIncVehSenior,other,ridehail,-5.185,-0.127,-0.067,-0.015,0.0,-5.193,-0.115,-0.052,-0.016,0.0,-5.183,-0.117,-0.052,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
LowIncNoVehSenior,other,bike,-2.788,-0.091,-0.0395,-0.026,0.019,-2.775,-0.115,-0.08,-0.016,0.02,-2.776,-0.117,-0.081,-0.027,0.02,-0.0395,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
LowIncVehSenior,other,bike,-2.788,-0.091,-0.0395,-0.026,0.019,-2.775,-0.115,-0.08,-0.016,0.02,-2.776,-0.117,-0.081,-0.027,0.02,-0.0395,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
HighIncNoVehSenior,other,bike,-2.788,-0.127,-0.0415,-0.015,0.019,-2.775,-0.115,-0.08,-0.016,0.02,-2.776,-0.117,-0.081,-0.013,0.02,-0.0415,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
HighIncVehSenior,other,bike,-2.788,-0.127,-0.0415,-0.015,0.019,-2.775,-0.115,-0.08,-0.016,0.02,-2.776,-0.117,-0.081,-0.013,0.02,-0.0415,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
LowIncNoVehSenior,other,walk,0.815,-0.091,-0.079,-0.026,0.0,0.814,-0.115,-0.08,-0.016,0.0,0.818,-0.117,-0.081,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
LowIncVehSenior,other,walk,0.815,-0.091,-0.079,-0.026,0.0,0.814,-0.115,-0.08,-0.016,0.0,0.818,-0.117,-0.081,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
HighIncNoVehSenior,other,walk,0.815,-0.127,-0.083,-0.015,0.0,0.814,-0.115,-0.08,-0.016,0.0,0.818,-0.117,-0.081,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
HighIncVehSenior,other,walk,0.815,-0.127,-0.083,-0.015,0.0,0.814,-0.115,-0.08,-0.016,0.0,0.818,-0.117,-0.081,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
LowIncNoVeh,medical,auto,-3.281,-0.091,-0.027,-0.026,0.0,-3.296,-0.115,-0.052,-0.016,0.0,-3.31,-0.117,-0.052,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
LowIncVeh,medical,auto,0.0,-0.091,-0.027,-0.026,0.0,0.0,-0.115,-0.052,-0.016,0.0,0.0,-0.117,-0.052,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
HighIncNoVeh,medical,auto,-3.281,-0.127,-0.067,-0.015,0.0,-3.296,-0.115,-0.052,-0.016,0.0,-3.31,-0.117,-0.052,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
HighIncVeh,medical,auto,0.0,-0.127,-0.067,-0.015,0.0,0.0,-0.115,-0.052,-0.016,0.0,0.0,-0.117,-0.052,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
LowIncNoVeh,medical,bus,-3.067,-0.091,-0.013,-0.026,0.0,-3.036,-0.115,-0.03,-0.016,0.0,-3.003,-0.117,-0.03,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
LowIncVeh,medical,bus,-3.067,-0.091,-0.013,-0.026,0.0,-3.036,-0.115,-0.03,-0.016,0.0,-3.003,-0.117,-0.03,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
HighIncNoVeh,medical,bus,-3.067,-0.127,-0.045,-0.015,0.0,-3.036,-0.115,-0.03,-0.016,0.0,-3.003,-0.117,-0.03,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
HighIncVeh,medical,bus,-3.067,-0.127,-0.045,-0.015,0.0,-3.036,-0.115,-0.03,-0.016,0.0,-3.003,-0.117,-0.03,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
LowIncNoVeh,medical,rail,-3.495,-0.091,-0.013,-0.026,0.0,-3.437,-0.115,-0.03,-0.016,0.0,-3.376,-0.117,-0.03,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
LowIncVeh,medical,rail,-3.495,-0.091,-0.013,-0.026,0.0,-3.437,-0.115,-0.03,-0.016,0.0,-3.376,-0.117,-0.03,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
HighIncNoVeh,medical,rail,-3.495,-0.127,-0.045,-0.015,0.0,-3.437,-0.115,-0.03,-0.016,0.0,-3.376,-0.117,-0.03,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
HighIncVeh,medical,rail,-3.495,-0.127,-0.045,-0.015,0.0,-3.437,-0.115,-0.03,-0.016,0.0,-3.376,-0.117,-0.03,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
LowIncNoVeh,medical,ridehail,-5.185,-0.091,-0.027,-0.026,0.0,-5.193,-0.115,-0.052,-0.016,0.0,-5.183,-0.117,-0.052,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
LowIncVeh,medical,ridehail,-5.185,-0.091,-0.027,-0.026,0.0,-5.193,-0.115,-0.052,-0.016,0.0,-5.183,-0.117,-0.052,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
HighIncNoVeh,medical,ridehail,-5.185,-0.127,-0.067,-0.015,0.0,-5.193,-0.115,-0.052,-0.016,0.0,-5.183,-0.117,-0.052,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
HighIncVeh,medical,ridehail,-5.185,-0.127,-0.067,-0.015,0.0,-5.193,-0.115,-0.052,-0.016,0.0,-5.183,-0.117,-0.052,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
LowIncNoVeh,medical,bike,-2.788,-0.091,-0.0395,-0.026,0.019,-2.775,-0.115,-0.08,-0.016,0.02,-2.776,-0.117,-0.081,-0.027,0.02,-0.0395,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
LowIncVeh,medical,bike,-2.788,-0.091,-0.0395,-0.026,0.019,-2.775,-0.115,-0.08,-0.016,0.02,-2.776,-0.117,-0.081,-0.027,0.02,-0.0395,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
HighIncNoVeh,medical,bike,-2.788,-0.127,-0.0415,-0.015,0.019,-2.775,-0.115,-0.08,-0.016,0.02,-2.776,-0.117,-0.081,-0.013,0.02,-0.0415,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
HighIncVeh,medical,bike,-2.788,-0.127,-0.0415,-0.015,0.019,-2.775,-0.115,-0.08,-0.016,0.02,-2.776,-0.117,-0.081,-0.013,0.02,-0.0415,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
LowIncNoVeh,medical,walk,0.815,-0.091,-0.079,-0.026,0.0,0.814,-0.115,-0.08,-0.016,0.0,0.818,-0.117,-0.081,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
LowIncVeh,medical,walk,0.815,-0.091,-0.079,-0.026,0.0,0.814,-0.115,-0.08,-0.016,0.0,0.818,-0.117,-0.081,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
HighIncNoVeh,medical,walk,0.815,-0.127,-0.083,-0.015,0.0,0.814,-0.115,-0.08,-0.016,0.0,0.818,-0.117,-0.081,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
HighIncVeh,medical,walk,0.815,-0.127,-0.083,-0.015,0.0,0.814,-0.115,-0.08,-0.016,0.0,0.818,-0.117,-0.081,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
LowIncNoVehSenior,medical,auto,-3.281,-0.091,-0.027,-0.026,0.0,-3.296,-0.115,-0.052,-0.016,0.0,-3.31,-0.117,-0.052,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
LowIncVehSenior,medical,auto,0.0,-0.091,-0.027,-0.026,0.0,0.0,-0.115,-0.052,-0.016,0.0,0.0,-0.117,-0.052,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
HighIncNoVehSenior,medical,auto,-3.281,-0.127,-0.067,-0.015,0.0,-3.296,-0.115,-0.052,-0.016,0.0,-3.31,-0.117,-0.052,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
HighIncVehSenior,medical,auto,0.0,-0.127,-0.067,-0.015,0.0,0.0,-0.115,-0.052,-0.016,0.0,0.0,-0.117,-0.052,-0.013,0.0,0.0,-0.127,-0.127,-0.115,-0.115,-0.117,-0.117
LowIncNoVehSenior,medical,bus,-3.067,-0.091,-0.013,-0.026,0.0,-3.036,-0.115,-0.03,-0.016,0.0,-3.003,-0.117,-0.03,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
LowIncVehSenior,medical,bus,-3.067,-0.091,-0.013,-0.026,0.0,-3.036,-0.115,-0.03,-0.016,0.0,-3.003,-0.117,-0.03,-0.027,0.0,0.0,-0.091,-0.091,-0.115,-0.115,-0.117,-0.117
